"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001617",15.3615694713414,1.94152433846794,0.570834339398883,3.40120452548888,0.00067089612352148,0.010304742934985
"ENSG00000002745",16.0977311227203,-2.75575604637426,0.589903127853656,-4.67153998047272,2.98949894052072e-06,0.000113192510756635
"ENSG00000005238",32.0145473012791,-1.15804536503891,0.349850793853194,-3.31011215462571,0.00093258595485392,0.0135116040733841
"ENSG00000005801",15.8498586151405,1.24316575011462,0.432457672857634,2.87465300800402,0.00404471738838654,0.0426578493795423
"ENSG00000005889",40.1061770384705,1.41149178049836,0.392043490183824,3.60034490009395,0.000317795352190661,0.00571490559940472
"ENSG00000006016",40.1513268477131,-1.70776904250446,0.316851906454509,-5.38980201070575,7.05353495803536e-08,4.15711732255251e-06
"ENSG00000006327",105.58764634278,-1.32895190763659,0.220316885532942,-6.03200206113062,1.61940712524055e-09,1.38768275041173e-07
"ENSG00000006756",47.8387271086596,1.55740603938666,0.302639064415277,5.14608397430679,2.65980393401242e-07,1.33702738146458e-05
"ENSG00000007255",12.275002876754,1.87963917576694,0.653444120904941,2.87651096036163,0.00402098230900995,0.0425107910510183
"ENSG00000007372",21.9560164465731,-4.75286717205696,0.708979800790355,-6.70381182476365,2.03051715018709e-11,2.40431689828972e-09
"ENSG00000007933",9.59449660000484,2.0109632860513,0.608584063562723,3.30433116220441,0.000952033008647427,0.0136716978364198
"ENSG00000008086",14.7988784220261,1.52525847354548,0.54334060834234,2.80718659736999,0.00499762832920072,0.0498089265292235
"ENSG00000008118",2.6796392715534,4.97688768574703,1.41975272257508,3.50546092049056,0.000455817412529178,0.00762133735326386
"ENSG00000008517",22.7104975801984,3.95761357730572,0.591726151568444,6.6882519334587,2.25852086428686e-11,2.65020128444472e-09
"ENSG00000010610",49.0831047490888,2.00073243578059,0.310521203538339,6.44314273222753,1.17024543476681e-10,1.24938088424899e-08
"ENSG00000010810",26.689695815735,2.51903893691217,0.394456189524071,6.38610574206354,1.70163358820869e-10,1.67907405200138e-08
"ENSG00000011132",15.0001233818891,1.44281033524144,0.48859238659387,2.95299389599523,0.00314708185891671,0.035064791456279
"ENSG00000011347",5.21611210384207,5.94443953541201,1.21560725068836,4.89009878153152,1.00785387705372e-06,4.30403172086056e-05
"ENSG00000011422",195.406630984951,-1.35768785947951,0.341456009957445,-3.97617209797747,7.00334517923712e-05,0.00161163552932091
"ENSG00000011426",151.637399571697,-1.02429398024414,0.342537048254088,-2.99031589565265,0.00278689070131921,0.0318974089496334
"ENSG00000011465",2001.47988328196,1.57632357383654,0.245445469166205,6.42229648480136,1.34233649920894e-10,1.39528936718579e-08
"ENSG00000012171",38.4750657807052,2.73449464571574,0.409883609688386,6.67139300299088,2.53386661880776e-11,2.94675113481884e-09
"ENSG00000012817",6.19341812946091,-5.98735738329302,1.2351848796146,-4.84733701173641,1.25129760019928e-06,5.27448260278173e-05
"ENSG00000013016",44.8661386523014,1.81707320495193,0.30398469554188,5.97751541969189,2.26566488384419e-09,1.8796359943994e-07
"ENSG00000013563",26.002608460555,-1.81364784745478,0.450143234532448,-4.0290461087093,5.60036341988573e-05,0.00133843547787177
"ENSG00000013588",110.512266091093,-1.7776996055087,0.253559992187811,-7.0109625346256,2.36684114161714e-12,3.31485009350142e-10
